id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
634887497676129670,(W5) Cozy & Stylish South End Studio,331225367,Stone,,Area 2/MIT,42.33849,-71.07591,Entire home/apt,290,1,6,2022-08-31,2.00,64,49,6,Exempt: This listing is a unit that has contracts with hospitals
634899884370785847,(W12) Fresh and New South End Studio,331225367,Stone,,Area 2/MIT,42.33974,-71.07769,Entire home/apt,226,1,12,2022-09-06,3.27,64,48,12,Exempt: This listing is a unit that has contracts with hospitals
634944756480605794,(C-42) 1BR Near It All!,331225367,Stone,,Area 2/MIT,42.34743,-71.09092,Entire home/apt,311,1,10,2022-09-09,3.70,64,131,10,Exempt: This listing is a unit that has contracts with hospitals
635008321907677749,🌟Medical 🩺 discount | Cambridge | 🚆station 1 min,450042941,Joana,,North Cambridge,42.39740316724579,-71.14821018854286,Entire home/apt,341,10,5,2022-09-18,3.00,2,336,5,
635175871513841870,"Brookline 1BR w/ Gym, steps to Green Line",107434423,Blueground,,Cambridgeport,42.3429191,-71.119517,Entire home/apt,186,32,0,,,383,346,0,
635371296268528151,Charming Theater District 1Br | Walk Anywhere!,275849638,Steven,,Area 2/MIT,42.35137,-71.06513,Entire home/apt,201,1,17,2022-09-05,4.90,39,246,17,STR-481123
635673101620253450,"South End,2 bed, in unit lau,cen air, Northeastern",266312920,STARS Of,,Area 2/MIT,42.33729,-71.08545,Entire home/apt,177,30,0,,,26,326,0,
636073770530441094,Ellie 2- Cutest Studio in Back Bay! Location!!!,331225367,Stone,,Area 2/MIT,42.34221,-71.08222,Entire home/apt,271,1,7,2022-07-11,1.79,64,138,7,Exempt: This listing is a unit that has contracts with hospitals
636109865830955355,"Ellie 7- Trundle 2Twins, BACK BAY! Location!!!",331225367,Stone,,Area 2/MIT,42.34399,-71.08175,Entire home/apt,196,1,24,2022-09-08,6.15,64,127,24,Exempt: This listing is a unit that has contracts with hospitals
636166694088558890,Sunny 2-bedroom apt w/ 2 car parking & pvt deck,25404208,Lauren,,North Cambridge,42.399429,-71.113464,Entire home/apt,364,2,12,2022-09-11,4.29,2,31,12,
636261037066462204,"Lovely 2Bed, 2Bath in Boston, In-unit Laundry",266312920,STARS Of,,Area 2/MIT,42.33732,-71.0855,Entire home/apt,250,30,0,,,26,288,0,
636458587318714183,Beautiful Fenway 2bed 2bath Apt near hospitals,158837906,Hashouki,,Area 2/MIT,42.348315626547226,-71.10031435717833,Entire home/apt,399,14,1,2022-07-18,0.45,43,365,1,Str-007113
636741005392238939,"Studio 3-min walk to subway, free parking",173354770,Emily,,North Cambridge,42.39134,-71.12201,Entire home/apt,163,30,1,2022-07-27,0.52,2,243,1,
636852775607554612,3 beds **free parking** 3-min walk to subway,173354770,Emily,,North Cambridge,42.39137,-71.12076,Entire home/apt,222,30,0,,,2,0,0,
637571846219690625,"Walk to Harvard, MIT, Central, Subway, Book Now!!",7848820,Kris,,Mid-Cambridge,42.37017,-71.1019,Private room,159,30,2,2022-09-13,1.15,16,320,2,C7362378003
638235027182813304,Cute and Cozy Studio!,409684302,Justin And Mandy,,Area 2/MIT,42.34132,-71.07847,Entire home/apt,701,14,0,,,32,338,0,Exempt: This listing is a hotel or motel
638303981895827346,Spacious Studio With Fast Wifi!,409684302,Justin And Mandy,,Area 2/MIT,42.34228,-71.07853,Entire home/apt,297,1,5,2022-09-04,1.33,32,335,5,Exempt: This listing is a hotel or motel
638473569363708335,Lovely 1 bedroom apartment in Beacon Hill Boston,380623623,Sofia,,Area 2/MIT,42.35849,-71.06928,Entire home/apt,135,29,0,,,10,278,0,
638491618000627769,Two bedroom apartment in the heart of boston,380623623,Sofia,,East Cambridge,42.35986222596869,-71.07090777742596,Entire home/apt,139,29,0,,,10,331,0,
638908178647698696,"Beacon Hill House, Walk to MGH/MIT/Freedom Trail",95634275,Sophia,,East Cambridge,42.36128,-71.06439,Entire home/apt,239,3,3,2022-08-22,0.94,14,0,3,STR-480630
638924072026713547,"Back Bay Cute Studio, Walk to Prudential & Newbury",95634275,Sophia,,Area 2/MIT,42.3522103575416,-71.08263204989454,Entire home/apt,279,3,5,2022-09-18,5,14,164,5,STR-480630
638978335989826229,Wonderful 1 bedroom in Beacon Hill Boston,380623623,Sofia,,Area 2/MIT,42.358624037593316,-71.069267417974,Entire home/apt,130,29,0,,,10,281,0,
639282488199028107,Hotel basement or smaller rooms or scholar house,162885740,Hong,,North Cambridge,42.39246,-71.12691,Private room,150,4,3,2022-08-25,1.08,18,91,3,
639539603890034768,1BR steps from Cooldige Corner in Brookline,107434423,Blueground,,Cambridgeport,42.3439802,-71.1207774,Entire home/apt,180,32,0,,,383,276,0,
639539909040945926,Classic Central Sq 1BR w/ W/D & Gym,107434423,Blueground,,Cambridgeport,42.36089399999999,-71.1025689,Entire home/apt,241,32,0,,,383,324,0,""
